mode,positive_box,negative_box,n_valid_samples,latent_skewness,latent_kurtosis_pearson,latent_bimodality_coefficient,latent_gmm_bic_1_minus_2,box_skewness,box_kurtosis_pearson,box_bimodality_coefficient,box_gmm_bic_1_minus_2,box_source
Decadal,"lat[-5.5,5.5], lon[-35.5,-5.5]; lat[45.5,60.5], lon[0.5,45.5]","lat[25.5,45.5], lon[-35.5,25.5]",900,-0.09965482480357578,1.6447318833204996,0.6140399504311377,,0.0093612561856273,2.5414099854197554,0.3935168425617845,,manual config: analysis/center_action_boxes.yaml
Interannual,"lat[-5.5,5.5], lon[0.5,100.5]","lat[24.5,44.5], lon[11.5,51.5]",900,0.2114260796778235,2.190354639194309,0.47695517815882627,,0.8425532886612533,3.9832684734836583,0.4292695949611613,,manual config: analysis/center_action_boxes.yaml
Quasibiennial,"lat[-5.5,5.5], lon[30.5,100.5]; lat[45.5,60.5], lon[15.5,60.5]","lat[28.5,48.5], lon[-25.5,15.5]",900,0.20749706860339723,2.966309978898013,0.3516338619022206,,0.5807302381156368,3.608279166162527,0.3706053628006927,,manual config: analysis/center_action_boxes.yaml
