row,Reg $\alpha_{D}$,Reg $\alpha_{I}$,Reg $\alpha_{Q}$,Probe $\alpha_{D}$,Probe $\alpha_{I}$,Probe $\alpha_{Q}$,Comp Lin $D$,Comp Lin $I$,Comp Lin $Q$
Reg $\alpha_{D}$,1.0,0.5251777811354482,0.4653428734509089,0.9881937268883275,0.41954509392621014,0.4246433102388597,0.9725258877074586,0.38035106958884063,0.44110859208713854
Reg $\alpha_{I}$,0.5251777811354482,1.0,0.731526014362802,0.418497887496699,0.9902444248592335,0.6463144851890443,0.5661760143065212,0.950484126410209,0.6881845300232307
Reg $\alpha_{Q}$,0.4653428734509089,0.731526014362802,1.0,0.4154515320889187,0.6791487929045732,0.9923946310561317,0.43472137315901915,0.5761487268119853,0.954814801402118
Probe $\alpha_{D}$,0.9881937268883275,0.418497887496699,0.4154515320889187,1.0,0.30293499026682763,0.38613415396587986,0.951060213907525,0.2572286417978565,0.4052119678102896
Probe $\alpha_{I}$,0.41954509392621014,0.9902444248592335,0.6791487929045732,0.30293499026682763,1.0,0.5898387512902288,0.47501139514029084,0.9675402756123005,0.637183696308687
Probe $\alpha_{Q}$,0.4246433102388597,0.6463144851890443,0.9923946310561317,0.38613415396587986,0.5898387512902288,1.0,0.3823866954301162,0.484589697891941,0.9496578725706463
Comp Lin $D$,0.9725258877074586,0.5661760143065212,0.43472137315901915,0.951060213907525,0.47501139514029084,0.3823866954301162,1.0,0.43900256524002423,0.4220952432667711
Comp Lin $I$,0.38035106958884063,0.950484126410209,0.5761487268119853,0.2572286417978565,0.9675402756123005,0.484589697891941,0.43900256524002423,1.0,0.5270514173683402
Comp Lin $Q$,0.44110859208713854,0.6881845300232307,0.954814801402118,0.4052119678102896,0.637183696308687,0.9496578725706463,0.4220952432667711,0.5270514173683402,1.0
